id	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	island	country	countryCode	locality	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q2CA_2017_RASO_T1_Q2	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q2CA_2017_RASO_T1_Q2	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q3CA_2017_RASO_T1_Q3	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q3CA_2017_RASO_T1_Q3	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q4CA_2017_RASO_T1_Q4	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q4CA_2017_RASO_T1_Q4	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q5CA_2017_RASO_T1_Q5	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q5CA_2017_RASO_T1_Q5	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q6CA_2017_RASO_T1_Q6	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q6CA_2017_RASO_T1_Q6	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q7CA_2017_RASO_T1_Q7	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q7CA_2017_RASO_T1_Q7	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q8CA_2017_RASO_T1_Q8	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q8CA_2017_RASO_T1_Q8	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q9CA_2017_RASO_T1_Q9	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT1Q9CA_2017_RASO_T1_Q9	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q10CA_2017_RASO_T2_Q10	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q10CA_2017_RASO_T2_Q10	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q11CA_2017_RASO_T2_Q11	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q11CA_2017_RASO_T2_Q11	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q1CA_2017_RASO_T2_Q1	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q1CA_2017_RASO_T2_Q1	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q2CA_2017_RASO_T2_Q2	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q2CA_2017_RASO_T2_Q2	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q3CA_2017_RASO_T2_Q3	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q3CA_2017_RASO_T2_Q3	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q4CA_2017_RASO_T2_Q4	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q4CA_2017_RASO_T2_Q4	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q5CA_2017_RASO_T2_Q5	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q5CA_2017_RASO_T2_Q5	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q6CA_2017_RASO_T2_Q6	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q6CA_2017_RASO_T2_Q6	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q7CA_2017_RASO_T2_Q7	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q7CA_2017_RASO_T2_Q7	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q8CA_2017_RASO_T2_Q8	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q8CA_2017_RASO_T2_Q8	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q9CA_2017_RASO_T2_Q9	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT2Q9CA_2017_RASO_T2_Q9	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q10CA_2017_RASO_T3_Q10	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q10CA_2017_RASO_T3_Q10	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q11CA_2017_RASO_T3_Q11	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q11CA_2017_RASO_T3_Q11	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q1CA_2017_RASO_T3_Q1	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q1CA_2017_RASO_T3_Q1	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q2CA_2017_RASO_T3_Q2	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q2CA_2017_RASO_T3_Q2	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q3CA_2017_RASO_T3_Q3	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q3CA_2017_RASO_T3_Q3	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q4CA_2017_RASO_T3_Q4	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q4CA_2017_RASO_T3_Q4	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q5CA_2017_RASO_T3_Q5	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q5CA_2017_RASO_T3_Q5	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q6CA_2017_RASO_T3_Q6	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q6CA_2017_RASO_T3_Q6	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q7CA_2017_RASO_T3_Q7	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q7CA_2017_RASO_T3_Q7	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q8CA_2017_RASO_T3_Q8	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q8CA_2017_RASO_T3_Q8	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q9CA_2017_RASO_T3_Q9	BR:PELD-ILOC:Noronha_Cagarras_2017_noronhacagarras2017rasoT3Q9CA_2017_RASO_T3_Q9	BR:PELD-ILOC:Noronha_Cagarras_2017	Photoquadrats 50 X 50cm	0.25	square meter	10	2017	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q10CA_2014_RASO_T1_Q10	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q10CA_2014_RASO_T1_Q10	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q11CA_2014_RASO_T1_Q11	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q11CA_2014_RASO_T1_Q11	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q1CA_2014_RASO_T1_Q1	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q1CA_2014_RASO_T1_Q1	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q2CA_2014_RASO_T1_Q2	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q2CA_2014_RASO_T1_Q2	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q3CA_2014_RASO_T1_Q3	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q3CA_2014_RASO_T1_Q3	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q4CA_2014_RASO_T1_Q4	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q4CA_2014_RASO_T1_Q4	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q5CA_2014_RASO_T1_Q5	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q5CA_2014_RASO_T1_Q5	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q6CA_2014_RASO_T1_Q6	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q6CA_2014_RASO_T1_Q6	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q7CA_2014_RASO_T1_Q7	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q7CA_2014_RASO_T1_Q7	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q8CA_2014_RASO_T1_Q8	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q8CA_2014_RASO_T1_Q8	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q9CA_2014_RASO_T1_Q9	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT1Q9CA_2014_RASO_T1_Q9	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q10CA_2014_RASO_T2_Q10	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q10CA_2014_RASO_T2_Q10	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q11CA_2014_RASO_T2_Q11	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q11CA_2014_RASO_T2_Q11	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q1CA_2014_RASO_T2_Q1	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q1CA_2014_RASO_T2_Q1	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q2CA_2014_RASO_T2_Q2	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q2CA_2014_RASO_T2_Q2	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q3CA_2014_RASO_T2_Q3	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q3CA_2014_RASO_T2_Q3	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q4CA_2014_RASO_T2_Q4	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q4CA_2014_RASO_T2_Q4	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q5CA_2014_RASO_T2_Q5	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q5CA_2014_RASO_T2_Q5	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q6CA_2014_RASO_T2_Q6	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q6CA_2014_RASO_T2_Q6	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q7CA_2014_RASO_T2_Q7	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q7CA_2014_RASO_T2_Q7	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q8CA_2014_RASO_T2_Q8	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q8CA_2014_RASO_T2_Q8	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q9CA_2014_RASO_T2_Q9	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT2Q9CA_2014_RASO_T2_Q9	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q10CA_2014_RASO_T3_Q10	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q10CA_2014_RASO_T3_Q10	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q11CA_2014_RASO_T3_Q11	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q11CA_2014_RASO_T3_Q11	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q1CA_2014_RASO_T3_Q1	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q1CA_2014_RASO_T3_Q1	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q2CA_2014_RASO_T3_Q2	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q2CA_2014_RASO_T3_Q2	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q3CA_2014_RASO_T3_Q3	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q3CA_2014_RASO_T3_Q3	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q4CA_2014_RASO_T3_Q4	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q4CA_2014_RASO_T3_Q4	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q5CA_2014_RASO_T3_Q5	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q5CA_2014_RASO_T3_Q5	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q6CA_2014_RASO_T3_Q6	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q6CA_2014_RASO_T3_Q6	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q7CA_2014_RASO_T3_Q7	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q7CA_2014_RASO_T3_Q7	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q8CA_2014_RASO_T3_Q8	BR:PELD-ILOC:Noronha_Cagarras_2014_noronhacagarras2014rasoT3Q8CA_2014_RASO_T3_Q8	BR:PELD-ILOC:Noronha_Cagarras_2014	Photoquadrats 50 X 50cm	0.25	square meter	10	2014	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
